superficie_construida,superficie_parcela,habitaciones,banos,zona,localizacion,precio
544 ㎡,7.614 ㎡,5.0,5.0,Central,Puntiró,4.495.000 EUR
,450 ㎡,,,Central,Santa Eugenia,520.000 EUR
454 ㎡,6 ㏊,4.0,5.0,Suroeste,Port Andratx,4.500.000 EUR
104 ㎡,,3.0,2.0,Suroeste,Santa Ponsa,799.000 EUR
331 ㎡,11.998 ㎡,5.0,3.0,Central,Sencelles,1.200.000 EUR
44 ㎡,,2.0,1.0,Palma,El Terreno,355.000 EUR
131 ㎡,,2.0,2.0,Suroeste,Port Andratx,1.950.000 EUR
430 ㎡,824 ㎡,4.0,3.0,Central,Sa Cabaneta,1.190.000 EUR
485 ㎡,544 ㎡,5.0,3.0,Norte,Sa Pobla,849.000 EUR
961 ㎡,"2,66 ㏊",6.0,6.0,Norte,Puerto Alcudia - Alcanada,3.650.000 EUR
133 ㎡,,2.0,2.0,Palma,Paseo Marítimo,1.050.000 EUR
544 ㎡,"1,72 ㏊",5.0,5.0,Central,Maria de la Salut,3.900.000 EUR
300 ㎡,,5.0,4.0,Sureste,Sa Rapita,1.295.000 EUR
,"2,2 ㏊",,,Norte,Can Picafort,395.000 EUR
89 ㎡,,2.0,2.0,Noreste,Capdepera,645.000 EUR
,2.700 ㎡,,,Sur,Cala Blava,1.950.000 EUR
